"Date","S.P.Composite","Dividend","Earnings","CPI","Long.Interest.Rate","Real.Price","Real.Dividend","Real.Earnings","Cyclically.Adjusted.PE.Ratio"
"1871",4.69166666666667,0.26,0.4,12.4006446283333,5.33833333333333,103.397792408475,5.72770724941793,8.81185730679682,NA
"1872",5.02916666666667,0.281666666666667,0.41625,12.9239592283333,5.46083333333333,106.234147896839,5.94960787875236,8.79332425381357,NA
"1873",4.80166666666667,0.31625,0.44625,12.6781560616667,5.52958333333333,103.274547341743,6.8230787848629,9.62551450385171,NA
"1874",4.57,0.33,0.46,11.940773555,5.28666666666667,104.514035912663,7.54995679280437,10.5241821960303,NA
"1875",4.4475,0.31375,0.405833333333333,11.2668413216667,4.85,107.760784754592,7.60146603351045,9.82518866219861,NA
"1876",4.06083333333333,0.3,0.316666666666667,10.505660745,4.52583333333333,105.517346295796,7.80182716140862,8.22906002364616,NA
"1877",3.13583333333333,0.240416666666667,0.290833333333333,10.1171501391667,4.39958333333333,84.7912069949841,6.46467415412151,7.87068731465407,NA
"1878",3.38333333333333,0.184583333333333,0.305416666666667,8.64238512408333,4.285,107.11187079829,5.83527653705146,9.66285608185683,NA
"1879",4.1225,0.190833333333333,0.347916666666667,8.52345820958333,4.12833333333333,131.759244947025,6.12546463778764,11.154878027405,NA
"1880",5.20916666666667,0.2325,0.439583333333333,9.53834270008333,3.87333333333333,149.205629440836,6.67238601496918,12.6147194595938,NA
"1881",6.25416666666667,0.2925,0.462916666666667,9.77621542775,3.66333333333333,174.896619559123,8.16269810192431,12.9518599212592,17.6305583860966
"1882",5.9,0.32,0.434583333333333,10.3074469690833,3.62458333333333,156.311442060228,8.47797127082608,11.5132663823696,15.2427730534579
"1883",5.63416666666667,0.325416666666667,0.41375,9.56213402233333,3.62541666666667,160.927695943253,9.30568079565766,11.8197006725219,15.3160851182195
"1884",4.74083333333333,0.319166666666667,0.35125,8.81682107425,3.57416666666667,146.621398476545,9.88871177813213,10.8618009329404,13.7652556020957
"1885",4.59666666666667,0.272083333333333,0.288333333333333,8.08738183191667,3.45125,155.301633098073,9.17960806839808,9.73205281175814,14.5983685758803
"1886",5.36416666666667,0.229166666666667,0.3025,7.754368113,3.43875,188.929231632227,8.06897494896495,10.6591164627839,17.6233575695998
"1887",5.53416666666667,0.23625,0.34625,8.03980796133333,3.58875,187.953217393696,8.02294469916362,11.75871197341,16.9876466183743
"1888",5.20416666666667,0.239166666666667,0.305833333333333,8.18252889816667,3.56916666666667,173.650778545672,7.98044807105976,10.2027980892412,15.3190241547707
"1889",5.32333333333333,0.224583333333333,0.281666666666667,7.738511281,3.43625,187.867381501541,7.9240384284006,9.94215345026217,16.68219254802
"1890",5.26916666666667,0.22,0.294583333333333,7.79401356758333,3.51166666666667,184.764423154136,7.71006316489014,10.3258050182068,16.5752772993158
"1891",5.02833333333333,0.22,0.317083333333333,7.77022629475,3.61083333333333,176.895264198567,7.73388759348906,11.1566708522432,16.3065472879209
"1892",5.55,0.230833333333333,0.35625,7.27071111575,3.66875,208.523226274134,8.66939482453951,13.3797876832036,19.1701568376217
"1893",4.775,0.245416666666667,0.310416666666667,7.44514639125,3.72708333333333,174.660037730746,9.02139409522612,11.3588111738906,15.8965282528706
"1894",4.38666666666667,0.228333333333333,0.205833333333333,6.66019608816667,3.59,179.858065293202,9.36085932698626,8.43668073768346,16.5806729958747
"1895",4.525,0.199166666666667,0.20875,6.80291297525,3.52416666666667,181.508019307305,7.99937601609253,8.36947339686811,17.1293481571704
"1896",4.23333333333333,0.184583333333333,0.228333333333333,6.46197488975,3.50833333333333,178.841038795406,7.80230977380291,9.6509178322308,16.9573368835532
"1897",4.45083333333333,0.18,0.264166666666667,6.4936899035,3.37708333333333,186.974082362771,7.5720688116041,11.0952484951144,17.9699722309355
"1898",5.0525,0.190833333333333,0.331666666666667,6.74741203825,3.23541666666667,204.596741915737,7.72606034611242,13.4280929893174,19.4816406839002
"1899",6.28833333333333,0.205416666666667,0.420416666666667,7.2865699725,3.12291666666667,236.153971351553,7.70991495719167,15.7225368158398,21.5381678475271
"1900",6.1475,0.25875,0.48,7.8098697245,3.12708333333333,214.966341387045,9.05958883598058,16.7832765602192,18.5711038059718
"1901",7.8425,0.310833333333333,0.490833333333333,7.69093808541667,3.13666666666667,278.483004668944,11.0348150243415,17.4266172561093,22.7365164700485
"1902",8.41666666666667,0.325416666666667,0.570416666666667,8.18252147383333,3.235,281.084127295434,10.8657650491481,19.0158529463974,21.9569024677715
"1903",7.21166666666667,0.340833333333333,0.575833333333333,8.28560168058333,3.34583333333333,237.24715492841,11.2393940699034,18.9647912058961,17.6365457354235
"1904",7.04916666666667,0.328333333333333,0.508333333333333,8.27766719025,3.43666666666667,232.372095105758,10.8326879999871,16.7709083652156,16.290311499013
"1905",8.98583333333333,0.320833333333333,0.5875,8.35696349875,3.45708333333333,293.565172828368,10.48222515739,19.1980420493306,19.312516448332
"1906",9.62166666666667,0.367916666666667,0.71875,8.5710179065,3.54,306.500987976043,11.7146133619126,22.8915150024646,18.718517101049
"1907",7.84,0.421666666666667,0.705833333333333,9.07053443508333,3.76166666666667,236.136195241207,12.6949096282191,21.2546887943783,13.4092491648623
"1908",7.77583333333333,0.418333333333333,0.616666666666667,8.73754366375,3.81958333333333,242.670372686538,13.0791796119814,19.2827753375391,13.1384143215984
"1909",9.7125,0.421666666666667,0.6775,9.43527396683333,3.82875,280.868503910817,12.2039378549328,19.5750609152486,14.8579527304387
"1910",9.35166666666667,0.45625,0.74375,9.76828498691667,3.94208333333333,261.468361001038,12.7700825585281,20.8001658636488,13.549827406751
"1911",9.235,0.47,0.654166666666667,9.00711790616667,3.99375,280.173228708763,14.2515029325829,19.8434063210623,14.2479052211884
"1912",9.535,0.475416666666667,0.649583333333333,9.601765978,4.21166666666667,271.089619417412,13.5227071438589,18.4619424093368,13.7341019615223
"1913",8.5075,0.48,0.662083333333333,9.88333333333333,4.31708333333333,235.102825914999,13.2605962114135,18.2962820585827,11.9469319116608
"1914",7.945,0.4475,0.570416666666667,10.0166666666667,4.19666666666667,216.672200564574,12.203387837147,15.5579318918347,11.0542518544927
"1915",8.305,0.425416666666667,0.715,10.1083333333333,4.15291666666667,224.147974420025,11.4902341443562,19.2879137426204,11.4978513694178
"1916",9.46666666666667,0.500416666666667,1.232125,10.8833333333333,4.1325,237.501201011789,12.5360843046055,30.7831293279903,11.9986916811044
"1917",8.495,0.630416666666667,1.39466666666667,12.825,4.38583333333333,182.041849149565,13.4138311555504,29.8325776814118,8.78284698655195
"1918",7.53916666666667,0.625,1.123,15.0416666666667,4.53791666666667,137.045981093924,11.418158631014,20.5384441765703,6.44105993888125
"1919",8.7825,0.548333333333333,0.9575,17.3333333333333,4.71541666666667,138.349148498299,8.66455958754834,15.1279841051219,6.54282376628034
"1920",7.9775,0.519166666666667,0.859583333333333,20.0416666666667,5.025,108.741991191459,7.07679617404084,11.7177204901688,5.31138084613639
"1921",6.8575,0.482916666666667,0.52375,17.85,4.72791666666667,104.929718559763,7.38578518567785,7.96206029587669,5.40668897809061
"1922",8.41083333333333,0.487083333333333,0.506666666666667,16.75,4.3275,137.122916251488,7.93939457336595,8.26048091376579,7.52306523224087
"1923",8.57333333333333,0.520833333333333,0.847083333333333,17.05,4.2225,137.36742370445,8.33962723320163,13.5503001651135,7.86273758293525
"1924",9.04583333333333,0.540833333333333,0.952916666666667,17.125,3.96833333333333,144.185089829203,8.62211035533928,15.1920141051796,8.37188726980523
"1925",11.15,0.577083333333333,1.10333333333333,17.5416666666667,3.7775,173.414824822031,8.9801256535165,17.1550867371665,10.1025217011961
"1926",12.5866666666667,0.64875,1.24458333333333,17.7,3.52416666666667,194.205100417149,10.0094972550434,19.1976836097861,11.7261181981872
